,name,extracted_address,latitude,longitude,url,url_type,address
0,Ministop -  Trương Vĩnh Ký,"212 Trương Vĩnh Ký, Tân Sơn Nhì, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.7943632,106.6282749,"https://www.google.com/maps/place/MINISTOP+Tr%C6%B0%C6%A1ng+V%C4%A9nh+K%C3%BD/@10.7943632,106.6282749,17z/data=!3m1!4b1!4m6!3m5!1s0x317529000c47913d:0xcea0eca8bf9ddacd!8m2!3d10.7943579!4d106.6308498!16s%2Fg%2F11y0dy1gr9?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"212 - 214 Trương Vĩnh Ký, Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh."
1,Ministop -  Nguyễn Trãi 2,"927 Nguyễn Trãi, Phường 14, Quận 5, Thành phố Hồ Chí Minh, Vietnam",10.7527876,106.6192894,"https://www.google.com/maps/place/MINISTOP/@10.7527876,106.6192894,14z/data=!4m10!1m2!2m1!1sMinistop+-++Nguy%E1%BB%85n+Tr%C3%A3i+2!3m6!1s0x31752faee0d81739:0x2c8c6fd591cf5121!8m2!3d10.7527876!4d106.6553383!15sChxNaW5pc3RvcCAtICBOZ3V54buFbiBUcsOjaSAyIgOIAQFaGyIZbWluaXN0b3Agbmd1eeG7hW4gdHLDo2kgMpIBEWNvbnZlbmllbmNlX3N0b3JlqgFqCg0vZy8xMWJicmhqMF9kCgkvbS8wNjF0cTUQASoMIghtaW5pc3RvcChCMh8QASIbpUOmy7HSyF0JLVz9-M4wYETgZUNsAO4TpW-aMh0QAiIZbWluaXN0b3Agbmd1eeG7hW4gdHLDo2kgMuABAA!16s%2Fg%2F11fnw0sqgz?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search,"318 Nguyễn Trãi, Phường An Đông, Thành phố Hồ Chí Minh."
2,Ministop -  Lê Văn Sỹ 2,"407B Đ. Lê Văn Sỹ, Phường 12, Quận 3, Thành phố Hồ Chí Minh, Vietnam",10.7887457,106.6734228,"https://www.google.com/maps/place/MINISTOP+-+S269+-+L%C3%AA+V%C4%83n+S%E1%BB%B9+2/@10.7887457,106.6734228,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0011390e65:0x92279e08846e38fe!8m2!3d10.7887404!4d106.6759977!16s%2Fg%2F11yhs09b58?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"407B Lê Văn Sỹ, Phường Nhiêu Lộc, Thành phố Hồ Chí Minh."
3,Ministop -  Scenic Valley 2,"2 Đ. Quán Âm Bồ Tát, Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Vietnam",10.7313421,106.714723,"https://www.google.com/maps/place/MINISTOP+S268+-+SCENIC+VALLEY+2/@10.7313421,106.714723,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0051cd8381:0x85abd69c5c6fa519!8m2!3d10.7313368!4d106.7172979!16s%2Fg%2F11xz0js1mz?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"A0.03, trệt + lầu 1 (Tầng 1+2), Dự án khu dân cư Scenic Valley 2 (Lô MD4-4) – Phú Mỹ Hưng, Phường Tân Mỹ, Thành phố Hồ Chí Minh."
4,Ministop -  Nơ Trang Long,"24 Nơ Trang Long, Phường 14, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam",10.8047421,106.6925644,"https://www.google.com/maps/place/S267+Ministop/@10.8047421,106.6925644,17z/data=!3m1!4b1!4m6!3m5!1s0x317529004adb0c1f:0xa9619d04899e2cb0!8m2!3d10.8047368!4d106.6951393!16s%2Fg%2F11zhzcwjt6?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"24 Nơ Trang Long, Phường Bình Thạnh, Thành phố Hồ Chí Minh."
5,Ministop -  Trần Quốc Hoàn,"117 Đ. Trần Quốc Hoàn, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.8058881,106.6616727,"https://www.google.com/maps/place/MINISTOP+-+TR%E1%BA%A6N+QU%E1%BB%90C+HO%C3%80N/@10.8058881,106.6616727,17z/data=!3m1!4b1!4m6!3m5!1s0x317529002bc94a43:0x69381db8ded344c4!8m2!3d10.8058828!4d106.6642476!16s%2Fg%2F11xncrd93n?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"117 Trần Quốc Hoàn, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh."
6,Ministop -  Võ Oanh,"106 Nguyễn Gia Trí, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam",10.8043926,106.7134517,"https://www.google.com/maps/place/Ministop+Vo+Oanh/@10.8043926,106.7134517,17z/data=!3m1!4b1!4m6!3m5!1s0x317529acfbdb1863:0xa9a8653f253d6af6!8m2!3d10.8043873!4d106.7160266!16s%2Fg%2F11t7dw7kc9?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"92 - 94 Võ Oanh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh."
7,Ministop -  Tô Vĩnh Diện,"3A Tô Vĩnh Diện, Linh Chiểu, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",10.8523976,106.7641949,"https://www.google.com/maps/place/MINISTOP+S264+-+T%C3%94+V%C4%A8NH+DI%E1%BB%86N/@10.8523976,106.7641949,17z/data=!3m1!4b1!4m6!3m5!1s0x3175270067c951e1:0x7c0e13de2d04a91!8m2!3d10.8523923!4d106.7667698!16s%2Fg%2F11xlpl0qd_?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"3A Tô Vĩnh Diện, Khu phố 4, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh."
8,Ministop -  Hoàng Việt 3,"22 Hoàng Việt, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.7942072,106.6560323,"https://www.google.com/maps/place/Ministop+-+S263+-+Ho%C3%A0ng+Vi%E1%BB%87t/@10.7942072,106.6560323,17z/data=!4m10!1m2!2m1!1zTWluaXN0b3AgLSAgSG_DoG5nIFZp4buHdCAz!3m6!1s0x317529007611b5d1:0x528700dbb7bb77e7!8m2!3d10.7953043!4d106.6590358!15sChtNaW5pc3RvcCAtICBIb8OgbmcgVmnhu4d0IDMiA4gBAZIBDG91dGxldF9zdG9yZaoBTxABKgwiCG1pbmlzdG9wKEIyHxABIhtqD5ofubClzn9odcu0r1CHbRggiano09vBmxAyHBACIhhtaW5pc3RvcCBob8Ogbmcgdmnhu4d0IDPgAQA!16s%2Fg%2F11y7jz_j_q?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search,"22 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh."
9,Ministop -  Đường số 20,"29 Đ. Số 20, Hiệp Bình Chánh, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",10.8277355,106.4344531,"https://www.google.com/maps/place/CHTL+-+MINISTOP+-+261+-+%C4%90%C6%B0%E1%BB%9Dng+s%E1%BB%91+20/@10.8277355,106.4344531,11z/data=!4m10!1m2!2m1!1zTWluaXN0b3AgLSAgxJDGsOG7nW5nIHPhu5EgMjA!3m6!1s0x317529004175dbe3:0xe58865645e8ed5a0!8m2!3d10.8277355!4d106.7228442!15sCh1NaW5pc3RvcCAtICDEkMaw4budbmcgc-G7kSAyMCIDiAEBkgEMb3V0bGV0X3N0b3JlqgFsCg0vZy8xMWJicmhqMF9kCgkvbS8wNjF0cTUQASoMIghtaW5pc3RvcChCMiAQASIcpMR_gpZEmGZfU6BW8gxJWNj9bZRvQRndgSBapTIeEAIiGm1pbmlzdG9wIMSRxrDhu51uZyBz4buRIDIw4AEA!16s%2Fg%2F11wc4j87ry?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search,"29 Đường số 20, Khu phố 4, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh."
10,Ministop -  Đường số 1,"107 Đ. Số 1, Phường Thông Tây Hội, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam",10.8458189,106.6588116,"https://www.google.com/maps/place/Ministop+%C4%91%C6%B0%E1%BB%9Dng+s%E1%BB%91+1/@10.8458189,106.6588116,17z/data=!3m1!4b1!4m6!3m5!1s0x3175290025ddc723:0x838d0d38b6e3fb57!8m2!3d10.8458136!4d106.6613865!16s%2Fg%2F11wq97szbh?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"124 Đường số 01, Phường 10, Quận Tân Bình, Thành phố Hồ Chí Minh."
