address,latitude,longitude
"273 Lê Hồng Phong, Phường Vũng Tàu, TP.HCM",10.3586917,107.0797172
"188D Phan Văn Trị, Phường Bình Thạnh, TP.HCM",10.8138586,106.6953706
"96B/3 Trần Phú, Phường Nha Trang, Tỉnh Khánh Hòa",12.2277169,109.1990397
"Gian hàng thương mại dịch vụ 1S08, Ô đất B2-CT01, Tòa L26 (S2.05) Dự án Khu đô thị Gia Lâm - Vinhomes Ocean Park",20.9948063,105.9464883
"Diện tích thương mại số 1S02, tầng 1, Tòa nhà số P2 (T30M-1) tại lô đất B5-CT04 thuộc Dự án Khu đô thị Gia Lâm (Vinhomes Ocean Park)",20.9896844,105.93883
"33 Trần Kim Xuyến, Yên Hòa, Cầu Giấy",21.018675,105.7943916
"S1.11, BS10, Vinhome Grand Park, Thủ Đức, TP. HCM",10.8377211,106.8301145
"S02.BS07, Vinhome Grand Park, Thủ Đức, TP. HCM",10.8377211,106.8301145
"106 Hoàng Diệu, Phường 13, Quận 4, TP. HCM",10.76409,106.7042646
"116 Phổ Quang, P.9, Q. Phú Nhuận, TP. HCM",10.8084525,106.6714245
"Cửa hàng số 01SH08A, Tòa S2.03 - Z34.1 (F1-CH03-1) Dự án khu đô thị mới, Đại Mỗ - Vinhomes Park - Vinhomes Smart City, Nam Từ Liêm, Hà Nội",21.0044599,105.7403962
"Số 1, ngõ 41, phố Nguyễn Chí Thanh, phường Ngọc Khánh, quận Ba Đình",21.0271328,105.8132745
"18 Lê Lai, Phường Bến Thành, Quận 1, TP. HCM",10.7715585,106.6973533
"55 Thảo Điền, Khu phố 2, Phường Thảo Điền, Thủ Đức, TP. HCM",10.8062391,106.7351056
"Tòa nhà PetroVietnam Tower số 1 - 5 Lê Duẩn, Phường Bến Nghé, Quận 1, TP. HCM",10.7863858,106.7050126
"944 Lê Văn Lương, Ấp 3, Xã Phước Kiển, Huyện Nhà Bè, TP. HCM",10.709178,106.7024066
"139 Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, TP. HCM",10.7447117,106.6892181
"295 Dương Bá Trạc, Phường Rạch Ông, Quận 8, TP. HCM",10.7447117,106.6892181
"F-Akari Hoàng Nam 73/5 Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, TP. HCM",10.7177051,106.6068546
"Khu Vực C2 Tầng Trệt - Khu Vực Thương Mại Nhà Để Xe Ga Quốc Nội - Cảng Hàng Không Quốc Tế Tân Sơn Nhất Số 45 Trường Sơn, Quận Tân Bình, TP.HCM",10.8169828,106.6565808
"157 đường Bắc Sơn, P. Hoàng Văn Thụ, Thái Nguyên",21.5948431,105.8280554
"104 đường Z115, Tổ 2, P. Tân Thịnh, Thái Nguyên",21.5831236,105.8109245
"28 đường Lương Ngọc Quyến, P. Quang Trung, Thái Nguyên",21.5999209,105.8240243
"CH17, tầng 1 và tầng 2, C-36 tầng, ô đất CT2, KĐT mới Kim Văn - Kim Lũ, phường Đại Kim, quận Hoàng Mai",20.9729213,105.8205122
"51-LK6A-C17 Đô thị Mỗ Lao, phường Mỗ Lao, quận Hà Đông",20.9863528,105.7831343
"CT3-CT4, The Pride, khu đô thị mới An Hưng, phường La Khê, quận Hà Đông",20.9744204,105.7779424
"Số 7 ngõ 34 phố Mai Anh Tuấn, phường Ô Chợ Dừa, quận Đống Đa",21.0189043,105.8222329
"N03-T2 khu đoàn Ngoại Giao, phường Xuân Tảo, quận Bắc Từ Liêm",21.0649246,105.7988184
"28 Nguyễn Phong Sắc, tổ 9, phường Dịch Vong, quận Cầu Giấy",21.0387932,105.7907225
"Căn hộ C1-A khu nhà ở Số 6 Đội Nhân, phường Vĩnh Phúc, quận Ba Đình",21.0414322,105.8112115
"197+198 tổ 6 Vũ Trọng Phụng, phường Thanh Xuân Trung, quận Thanh Xuân",21.0004713,105.8074049
"36 phố Tràng Tiền, phường Tràng Tiền, quận Hoàn Kiếm",21.025064,105.8549676
"N1H1, số 1 đường Nguyễn Hoàng, phường Mỹ Đình 2, quận Nam Từ Liêm",21.0290557,105.7760852
"Số 4 dãy L - TT Văn Hóa Nghệ thuật, tổ 25, phường Mai Dịch, quận Cầu Giấy",21.0395659,105.7740712
"Số 01, nhà C2, khu tập thể quân đội Nam Đồng, P. Nam Đồng, Q. Đống Đa",21.0127521,105.8129142
"CH01-09, số 17 đường Gamuda Gardens 2-2, khu đô thị C2 - Gamuda Gardens, P. Trần Phú, Q. Hoàng Mai",20.9678779,105.8726108
"86 Ngô Xuân Quảng, P. Trâu Quỳ, Q. Gia Lâm",21.0168831,105.9364479
"2 ngõ 612 Lạc Long Quân, P. Nhật Tân, Q. Tây Hồ",21.0763538,105.815157
"19 Lê Thánh Tôn, P. Lộc Thọ, Nha Trang",12.2438262,109.1931779
"L-01 Vinpearl Harbour, Nha Trang",12.2173132,109.2405233
"6 Tháp Bà, Phường Vĩnh Thọ, Nha Trang",12.2654992,109.1977373
"90 Hồng Bàng, Phường Tân Lập, Nha Trang",12.2401086,109.1900178
"C-02 Vinpearl Harbour, Nha Trang",12.2173132,109.2405233
"18 Trần Phú, P. Lộc Thọ, Nha Trang",12.2491123,109.1960881
"4C Biệt Thự, P. Lộc Thọ, Nha Trang",12.2358418,109.1959279
"42 Lê Lợi, P. Bến Nghế, Quận 1, TP. HCM",10.774169,106.700414
"Số 119 đường Trần Não, Khu phố 10, P. An Khánh, Thủ Đức, TP. HCM",10.7928064,106.7308009
"235 Nguyễn Gia Thiều, P. Suối Hoa, TP. Bắc Ninh, Bắc Ninh",21.183228,106.0692025
"Toà nhà AnLand Premium, Khu đô thị Dương Nội, Đường Tố Hữu, La Khê, Hà Đông, Hà Nội",20.9760896,105.7610096
"177 Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai",20.9889555,105.8778113
"181 Nguyễn Ngọc Vũ, P. Trung Hòa, Q. Cầu Giấy",21.0126287,105.807072
"Lô 16-D khu nhà ở thấp tầng A10, khu đô thị Nam Trung Yên, P. Yên Hòa, Q. Cầu Giấy",21.0188597,105.7870928
"568 Trương Định, P. Tân Mai, Q. Hoàng Mai",20.9828837,105.8457554
"6A Nguyễn Chánh, Lộc Thọ, Nha Trang",12.2462047,109.1958006
