address,latitude,longitude,url
"212 - 214 Trương Vĩnh Ký, Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh.",10.7943632,106.6282749,"https://www.google.com/maps/place/212+Tr%C6%B0%C6%A1ng+V%C4%A9nh+K%C3%BD,+T%C3%A2n+S%C6%A1n+Nh%C3%AC,+T%C3%A2n+Ph%C3%BA,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.7943632,106.6282749,17z/data=!3m1!4b1!4m6!3m5!1s0x31752955158ef68d:0x9701c2a7937b2980!8m2!3d10.7943579!4d106.6308498!16s%2Fg%2F11pcnzszjt?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"318 Nguyễn Trãi, Phường An Đông, Thành phố Hồ Chí Minh.",10.7560079,106.6722611,"https://www.google.com/maps/place/318+Nguy%E1%BB%85n+Tr%C3%A3i,+Ph%C6%B0%E1%BB%9Dng+7,+Qu%E1%BA%ADn+5,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.7560079,106.6722611,17z/data=!3m1!4b1!4m6!3m5!1s0x31752efd6cd5ed79:0x6c0f04eb0cc7107!8m2!3d10.7560026!4d106.674836!16s%2Fg%2F11ptqvf484?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"407B Lê Văn Sỹ, Phường Nhiêu Lộc, Thành phố Hồ Chí Minh.",10.7887457,106.6734228,"https://www.google.com/maps/place/407B+%C4%90.+L%C3%AA+V%C4%83n+S%E1%BB%B9,+Ph%C6%B0%E1%BB%9Dng+12,+Qu%E1%BA%ADn+3,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.7887457,106.6734228,17z/data=!3m1!4b1!4m6!3m5!1s0x31752ed563f5f009:0x3a57f5d6729b0e2b!8m2!3d10.7887404!4d106.6759977!16s%2Fg%2F11snrlt48r?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"A0.03, trệt + lầu 1 (Tầng 1+2), Dự án khu dân cư Scenic Valley 2 (Lô MD4-4) – Phú Mỹ Hưng, Phường Tân Mỹ, Thành phố Hồ Chí Minh.",10.7311137,106.7144404,"https://www.google.com/maps/search/A0.03,+tr%E1%BB%87t+%2B+l%E1%BA%A7u+1+(T%E1%BA%A7ng+1%2B2),+D%E1%BB%B1+%C3%A1n+khu+d%C3%A2n+c%C6%B0+Scenic+Valley+2+(L%C3%B4+MD4-4)+%E2%80%93+Ph%C3%BA+M%E1%BB%B9+H%C6%B0ng,+Ph%C6%B0%E1%BB%9Dng+T%C3%A2n+M%E1%BB%B9,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh./@10.7311137,106.7144404,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"24 Nơ Trang Long, Phường Bình Thạnh, Thành phố Hồ Chí Minh.",10.8148334,106.6890282,"https://www.google.com/maps/search/24+N%C6%A1+Trang+Long,+Ph%C6%B0%E1%BB%9Dng+B%C3%ACnh+Th%E1%BA%A1nh,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh./@10.8148334,106.6890282,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"117 Trần Quốc Hoàn, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh.",10.8825875,106.6601614,"https://www.google.com/maps/search/117+Tr%E1%BA%A7n+Qu%E1%BB%91c+Ho%C3%A0n,+Ph%C6%B0%E1%BB%9Dng+T%C3%A2n+S%C6%A1n+Nh%E1%BA%A5t,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh./@10.8825875,106.6601614,11z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"92 - 94 Võ Oanh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",10.8051516,106.7119066,"https://www.google.com/maps/place/94%2F9%2F2+V%C3%B5+Oanh,+Ph%C6%B0%E1%BB%9Dng+25,+B%C3%ACnh+Th%E1%BA%A1nh,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.8051516,106.7119066,17z/data=!3m1!4b1!4m6!3m5!1s0x317529705979e9e9:0x7980de93c0978930!8m2!3d10.8051463!4d106.7144815!16s%2Fg%2F11y5nj3pzz?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"3A Tô Vĩnh Diện, Khu phố 4, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",10.8522826,106.7641184,"https://www.google.com/maps/place/3A+T%C3%B4+V%C4%A9nh+Di%E1%BB%87n,+Linh+Chi%E1%BB%83u,+Th%E1%BB%A7+%C4%90%E1%BB%A9c,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh+71307,+Vietnam/@10.8522826,106.7641184,17z/data=!3m1!4b1!4m6!3m5!1s0x3175279f13150b9f:0x40a8c462d52ad74b!8m2!3d10.8522773!4d106.7666933!16s%2Fg%2F11ygw__x5n?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"22 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh.",10.8090945,106.6309384,"https://www.google.com/maps/search/22+Ho%C3%A0ng+Vi%E1%BB%87t,+Ph%C6%B0%E1%BB%9Dng+04,+Qu%E1%BA%ADn+T%C3%A2n+B%C3%ACnh,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh./@10.8090945,106.6309384,14z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"29 Đường số 20, Khu phố 4, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",10.8277408,106.7202693,"https://www.google.com/maps/place/29+%C4%90.+S%E1%BB%91+20,+Hi%E1%BB%87p+B%C3%ACnh+Ch%C3%A1nh,+Th%E1%BB%A7+%C4%90%E1%BB%A9c,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.8277408,106.7202693,17z/data=!3m1!4b1!4m6!3m5!1s0x31752881db63d021:0xb70b24c77c2e5a21!8m2!3d10.8277355!4d106.7228442!16s%2Fg%2F11vstq3pt4?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
