,Name,latitude,longitude,url,Location,Phone
0,Ministop -  Trương Vĩnh Ký ,10.7943632,106.6282749,"https://www.google.com/maps/place/MINISTOP+Tr%C6%B0%C6%A1ng+V%C4%A9nh+K%C3%BD/@10.7943632,106.6282749,17z/data=!3m1!4b1!4m6!3m5!1s0x317529000c47913d:0xcea0eca8bf9ddacd!8m2!3d10.7943579!4d106.6308498!16s%2Fg%2F11y0dy1gr9?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D","212 - 214 Trương Vĩnh Ký, Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 4449
1,Ministop -  Nguyễn Trãi 2 ,10.7550568,106.6486337,"https://www.google.com/maps/search/Ministop+-++Nguy%E1%BB%85n+Tr%C3%A3i+2+/@10.7550568,106.6486337,14z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D","318 Nguyễn Trãi, Phường An Đông, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1557
2,Ministop -  Lê Văn Sỹ 2 ,10.7890534,106.6731239,"https://www.google.com/maps/search/Ministop+-++L%C3%AA+V%C4%83n+S%E1%BB%B9+2+/@10.7890534,106.6731239,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D","407B Lê Văn Sỹ, Phường Nhiêu Lộc, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2759
3,Ministop -  Scenic Valley 2 ,10.7313421,106.714723,"https://www.google.com/maps/place/MINISTOP+S268+-+SCENIC+VALLEY+2/@10.7313421,106.714723,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0051cd8381:0x85abd69c5c6fa519!8m2!3d10.7313368!4d106.7172979!16s%2Fg%2F11xz0js1mz?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D","A0.03, trệt + lầu 1 (Tầng 1+2), Dự án khu dân cư Scenic Valley 2 (Lô MD4-4) – Phú Mỹ Hưng, Phường Tân Mỹ, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3722 5226
4,Ministop -  Nơ Trang Long ,10.8047421,106.6925644,"https://www.google.com/maps/place/S267+Ministop/@10.8047421,106.6925644,17z/data=!3m1!4b1!4m6!3m5!1s0x317529004adb0c1f:0xa9619d04899e2cb0!8m2!3d10.8047368!4d106.6951393!16s%2Fg%2F11zhzcwjt6?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D","24 Nơ Trang Long, Phường Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3622 2970
5,Ministop -  Trần Quốc Hoàn ,10.8058881,106.6616727,"https://www.google.com/maps/place/MINISTOP+-+TR%E1%BA%A6N+QU%E1%BB%90C+HO%C3%80N/@10.8058881,106.6616727,17z/data=!3m1!4b1!4m6!3m5!1s0x317529002bc94a43:0x69381db8ded344c4!8m2!3d10.8058828!4d106.6642476!16s%2Fg%2F11xncrd93n?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D","117 Trần Quốc Hoàn, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 8049
6,Ministop -  Võ Oanh ,10.8045212,106.7127994,"https://www.google.com/maps/search/Ministop+-++V%C3%B5+Oanh+/@10.8045212,106.7127994,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D","92 - 94 Võ Oanh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 5934
7,Ministop -  Tô Vĩnh Diện ,10.8523976,106.7641949,"https://www.google.com/maps/place/MINISTOP+S264+-+T%C3%94+V%C4%A8NH+DI%E1%BB%86N/@10.8523976,106.7641949,17z/data=!3m1!4b1!4m6!3m5!1s0x3175270067c951e1:0x7c0e13de2d04a91!8m2!3d10.8523923!4d106.7667698!16s%2Fg%2F11xlpl0qd_?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D","3A Tô Vĩnh Diện, Khu phố 4, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5044
8,Ministop -  Hoàng Việt 3 ,10.7945186,106.6564844,"https://www.google.com/maps/search/Ministop+-++Ho%C3%A0ng+Vi%E1%BB%87t+3+/@10.7945186,106.6564844,18z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D","22 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5027
9,Ministop -  Đường số 20 ,10.8824519,106.7425725,"https://www.google.com/maps/search/Ministop+-++%C4%90%C6%B0%E1%BB%9Dng+s%E1%BB%91+20+/@10.8824519,106.7425725,12z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D","29 Đường số 20, Khu phố 4, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2998
